model,xr_2,p_2,xr_3,p_3,xr_4,p_4,xr_5,p_5,xr_7,p_7,xr_10,p_10,xr_ew,p_ew
PCA (10 components),-51.2%,,-36.9%,,-28.8%,,-22.9%,,-16.0%,,-5.2%,,-21.0%,
PCA (5 components),-51.7%,,-38.1%,,-30.9%,,-23.7%,,-19.0%,,-7.8%,,-23.3%,
PCA (3 components),-19.1%,,-12.4%,,-8.1%,,-2.9%,,0.3%,0.025,7.1%,0.007,-2.2%,
PCA-Squared (5 components),-53.3%,,-41.7%,,-32.2%,,-24.8%,,-18.6%,,-8.5%,,-24.3%,
PCA-Squared (3 components),-48.0%,,-39.4%,,-31.1%,,-24.1%,,-18.3%,,-10.0%,,-23.9%,
Partial Least Squares (5 components),-51.8%,,-36.8%,,-29.1%,,-22.9%,,-14.3%,,-3.0%,,-19.8%,
Partial Least Squares (3 components),-52.0%,,-38.5%,,-31.3%,,-24.6%,,-18.1%,,-6.4%,,-22.7%,
Ridge,-11.4%,,-8.6%,,-7.8%,,-3.5%,,-1.3%,,2.3%,0.036,-2.5%,
Lasso,-10.8%,,-8.6%,,-5.1%,,-0.1%,,1.7%,0.044,6.1%,0.018,1.1%,0.040
Elastic Net,-11.3%,,-8.0%,,-5.0%,,0.1%,0.052,2.1%,0.040,6.2%,0.016,1.1%,0.038
