model,r2_2,p_2,r2_3,p_3,r2_4,p_4,r2_5,p_5,r2_7,p_7,r2_10,p_10,r2_ew,p_ew
PCA (10 components),-0.5122532140028899,0.24151356574440896,-0.3685563070376736,0.2517044937460151,-0.2882319553122974,0.16473121819070213,-0.22946009617598162,0.13232357788480043,-0.1598441035463245,0.08346001916350443,-0.05177417163296538,0.027298522091791066,-0.20961079346752043,0.11217326856587717
PCA (5 components),-0.5165440944638204,0.2946369374081017,-0.3807566493145911,0.28525362800357557,-0.30850228643834865,0.17888157480471412,-0.2365346538611648,0.1253243359280951,-0.19023662046339607,0.066138145370089,-0.07797497472197112,0.018997631972055395,-0.23265937105686296,0.09067315495381778
PCA (3 components),-0.1905352021496094,0.1939632299503704,-0.12380669615951478,0.16111346327929366,-0.08112965012916828,0.08986584744472326,-0.02863177237646819,0.05047955168201512,0.0027510290439142215,0.024851428689638633,0.07057162403396333,0.006923481923133301,-0.02167028552889816,0.0324033935039314
PCA-Squared (5 components),-0.5333490139334205,0.44631445261766167,-0.41668488582112273,0.2683488820041833,-0.32237485662411625,0.1303567355335996,-0.2476291849495853,0.07684684271188535,-0.18587381459387675,0.042106337396672244,-0.08538256715563586,0.020523857553680802,-0.2431979700178004,0.06143614022750876
PCA-Squared (3 components),-0.4799538034819457,0.4954186070872082,-0.394137641108284,0.2701232634060836,-0.31110984322368074,0.13317158342684743,-0.24104711146585855,0.07361218601103992,-0.18274625222243546,0.04068436017809551,-0.09952504559648756,0.018818050661791097,-0.2392789370319972,0.05562737133616835
Partial Least Squares (5 components),-0.5179624025884624,0.2554450755360156,-0.3676268663700082,0.26336718670076387,-0.2913430847411733,0.16928891413899483,-0.2290745924159412,0.12753130897711307,-0.1430851136169251,0.06548883624972313,-0.029817095975544383,0.01586290857095707,-0.19822777602573227,0.09219691510646977
Partial Least Squares (3 components),-0.5202593011947014,0.2892143695930596,-0.3853885908952077,0.28327039182453473,-0.31252582534816575,0.17457503263785412,-0.2456419527141176,0.1233772737995047,-0.18057389755584263,0.06307643777513183,-0.06414828277559192,0.01802539217957122,-0.22723361887520466,0.08899694976559258
Ridge,-0.11421535535161986,0.5455840357436956,-0.08568874394323878,0.3323289481740891,-0.07828193129273764,0.2397724038001321,-0.03469035548917532,0.1067830515769903,-0.013234182017063612,0.07627107252060927,0.02333970915160488,0.036060411544297066,-0.025259975996320794,0.08569684721521509
Lasso,-0.10774730598568949,0.6226994134492361,-0.08594278162640245,0.36743380977311757,-0.05149636980024641,0.16353089456555803,-0.0010604676119125855,0.05700060100954574,0.01654453211379281,0.044187323465025186,0.061000838892882436,0.017709414642159693,0.010765122164873908,0.039587075993755994
Elastic Net,-0.11261537517897402,0.6603634780149287,-0.07959016944365072,0.31021966644844123,-0.04972159220551764,0.152127204932493,0.0010817699774623435,0.052063078182970624,0.020548673325656797,0.04002709769052637,0.062211400694890284,0.016372374199293716,0.010698067845212322,0.038082627764077226
