model,target,paper,reproduced,diff
PCA - first 8 PCs,rx_2,-9.8,-11.1,-1.3
PCA - first 8 PCs,rx_3,-2.9,-5.3,-2.4
PCA - first 8 PCs,rx_4,0.3,-3.8,-4.1
PCA - first 8 PCs,rx_5,3.0,-2.5,-5.5
PCA - first 8 PCs,rx_7,3.3,-1.7,-5.0
PCA - first 8 PCs,rx_10,4.5,-1.5,-6.0
PCA - first 8 PCs,EW,1.8,-3.2,-5.0
PCA as in Ludvigson and Ng (2009),rx_2,-3.4,3.6,7.0
PCA as in Ludvigson and Ng (2009),rx_3,0.2,6.6,6.4
PCA as in Ludvigson and Ng (2009),rx_4,1.6,8.3,6.7
PCA as in Ludvigson and Ng (2009),rx_5,1.6,8.6,7.0
PCA as in Ludvigson and Ng (2009),rx_7,-1.4,5.5,6.9
PCA as in Ludvigson and Ng (2009),rx_10,-4.7,2.1,6.8
PCA as in Ludvigson and Ng (2009),EW,-1.3,5.8,7.1
PLS - 8 components,rx_2,-40.7,-50.4,-9.7
PLS - 8 components,rx_3,-19.7,-27.3,-7.6
PLS - 8 components,rx_4,-12.0,-21.4,-9.4
PLS - 8 components,rx_5,-8.2,-41.5,-33.3
PLS - 8 components,rx_7,-2.7,-37.4,-34.7
PLS - 8 components,rx_10,3.4,-49.0,-52.4
PLS - 8 components,EW,-6.4,-34.3,-27.9
Ridge (using CP factor),rx_2,-45.3,13.5,58.8
Ridge (using CP factor),rx_3,-23.6,15.7,39.3
Ridge (using CP factor),rx_4,-16.7,17.2,33.9
Ridge (using CP factor),rx_5,-13.2,17.3,30.5
Ridge (using CP factor),rx_7,-3.1,18.6,21.7
Ridge (using CP factor),rx_10,5.3,23.8,18.5
Ridge (using CP factor),EW,-5.6,21.2,26.8
Lasso (using CP factor),rx_2,6.4,5.9,-0.5
Lasso (using CP factor),rx_3,11.2,7.0,-4.2
Lasso (using CP factor),rx_4,12.9,11.5,-1.4
Lasso (using CP factor),rx_5,14.4,14.8,0.4
Lasso (using CP factor),rx_7,19.6,18.4,-1.2
Lasso (using CP factor),rx_10,23.7,24.2,0.5
Lasso (using CP factor),EW,21.0,19.5,-1.5
Elastic Net (using CP factor),rx_2,6.4,5.8,-0.6
Elastic Net (using CP factor),rx_3,11.0,7.2,-3.8
Elastic Net (using CP factor),rx_4,14.3,11.3,-3.0
Elastic Net (using CP factor),rx_5,15.7,14.7,-1.0
Elastic Net (using CP factor),rx_7,21.7,18.6,-3.1
Elastic Net (using CP factor),rx_10,29.1,24.4,-4.7
Elastic Net (using CP factor),EW,22.0,19.6,-2.4
Ridge (using fwd rates directly),rx_2,-52.2,10.5,62.7
Ridge (using fwd rates directly),rx_3,-28.7,10.4,39.1
Ridge (using fwd rates directly),rx_4,-22.7,13.2,35.9
Ridge (using fwd rates directly),rx_5,-18.3,15.4,33.7
Ridge (using fwd rates directly),rx_7,-13.1,21.5,34.6
Ridge (using fwd rates directly),rx_10,-3.5,23.9,27.4
Ridge (using fwd rates directly),EW,-15.4,20.6,36.0
Lasso (using fwd rates directly),rx_2,11.0,12.1,1.1
Lasso (using fwd rates directly),rx_3,12.0,10.7,-1.3
Lasso (using fwd rates directly),rx_4,12.3,9.3,-3.0
Lasso (using fwd rates directly),rx_5,16.4,13.8,-2.6
Lasso (using fwd rates directly),rx_7,19.9,16.3,-3.6
Lasso (using fwd rates directly),rx_10,23.6,16.1,-7.5
Lasso (using fwd rates directly),EW,20.7,16.2,-4.5
Elastic Net (using fwd rates directly),rx_2,10.2,13.1,2.9
Elastic Net (using fwd rates directly),rx_3,14.2,11.2,-3.0
Elastic Net (using fwd rates directly),rx_4,16.0,9.1,-6.9
Elastic Net (using fwd rates directly),rx_5,13.2,13.4,0.2
Elastic Net (using fwd rates directly),rx_7,19.9,16.8,-3.1
Elastic Net (using fwd rates directly),rx_10,23.6,16.6,-7.0
Elastic Net (using fwd rates directly),EW,21.0,16.6,-4.4
